,term,cosine_sim_with_core, closest_terms_from_core
0,accountability,0.18670422,"[('accountability', 0.9999998807907104), ('legitimacy', 0.37235188484191895), ('reliability', 0.31146395206451416)]"
1,carrying_capacity,0.29651725,"[('carrying_capacity', 0.9999999403953552), ('niche', 0.4797203540802002), ('density', 0.43774792551994324)]"
2,chance_survival,0.19602016,"[('chance_survival', 1.0), ('survival', 0.32439589500427246), ('death_rate', 0.2601874768733978)]"
3,competition,0.29150927,"[('competition', 1.0000001192092896), ('niche', 0.390576034784317), ('evolution', 0.3786696493625641)]"
4,death_rate,0.26722953,"[('death_rate', 1.000000238418579), ('failure_rate', 0.4616333842277527), ('population', 0.43764883279800415)]"
5,density,0.27983785,"[('density', 0.9999999403953552), ('population', 0.46015921235084534), ('failure_rate', 0.4552730619907379)]"
6,ecological,0.32861298,"[('ecological', 1.0), ('ecology', 0.6405127048492432), ('populations', 0.4808553457260132)]"
7,ecology,0.28929523,"[('ecology', 1.0000001192092896), ('ecological', 0.6405127048492432), ('evolution', 0.44719210267066956)]"
8,evolution,0.35073724,"[('evolution', 1.0000001192092896), ('evolutionary', 0.7657392024993896), ('natural_selection', 0.6152126789093018)]"
9,evolutionary,0.31119752,"[('evolutionary', 1.0), ('evolution', 0.7657392024993896), ('natural_selection', 0.6384547352790833)]"
10,failure_rate,0.2642001,"[('failure_rate', 1.0), ('death_rate', 0.4616333842277527), ('density', 0.4552730619907379)]"
11,fitness,0.24683285,"[('fitness', 1.0), ('survival', 0.3277308940887451), ('natural_selection', 0.32032841444015503)]"
12,generalist,0.24285682,"[('generalist', 1.0), ('specialist', 0.5149348378181458), ('specialism', 0.4035523235797882)]"
13,inertia,0.28274158,"[('inertia', 1.0000001192092896), ('resistance_change', 0.42805996537208557), ('structural_inertia', 0.41358715295791626)]"
14,inertial,0.23836192,"[('inertial', 1.0000001192092896), ('inertia', 0.38964518904685974), ('natural_selection', 0.34998345375061035)]"
15,legitimacy,0.2702671,"[('legitimacy', 0.9999998807907104), ('legitimate', 0.6174986362457275), ('organizational_form', 0.37397056818008423)]"
16,legitimate,0.1806311,"[('legitimate', 1.0000001192092896), ('legitimacy', 0.6174986362457275), ('accountability', 0.24418047070503235)]"
17,natural_selection,0.31921,"[('natural_selection', 1.0), ('evolutionary', 0.6384547352790833), ('evolution', 0.6152126789093018)]"
18,niche,0.31695738,"[('niche', 1.0000001192092896), ('carrying_capacity', 0.4797203540802002), ('ecological', 0.4348103702068329)]"
19,organizational_form,0.3322797,"[('organizational_form', 0.9999998807907104), ('evolution', 0.489593505859375), ('natural_selection', 0.42150548100471497)]"
