,term,cosine_sim_with_core, closest_terms_from_core
0,board_directors,0.24739826,"[('board_directors', 1.0), ('director_interlocks', 0.3823855221271515), ('interlock', 0.3735746145248413)]"
1,buffer,0.16021521,"[('buffer', 0.9999999403953552), ('external', 0.2986469864845276), ('constraint', 0.24882012605667114)]"
2,coalition,0.22145203,"[('coalition', 1.0000001192092896), ('cooperate', 0.36079734563827515), ('cooperation', 0.34516996145248413)]"
3,constrain,0.22900067,"[('constrain', 0.9999998807907104), ('influence', 0.45987293124198914), ('constraint', 0.42804691195487976)]"
4,constraint,0.23168725,"[('constraint', 1.0000001192092896), ('constrain', 0.42804691195487976), ('dependence', 0.3266882300376892)]"
5,control,0.31237665,"[('control', 0.9999998211860657), ('influence', 0.5555785894393921), ('external', 0.4527829587459564)]"
6,cooperate,0.2530863,"[('cooperate', 1.0000001192092896), ('cooperation', 0.6586781144142151), ('interdependent', 0.37523913383483887)]"
7,cooperation,0.30150783,"[('cooperation', 1.0), ('cooperate', 0.6586781144142151), ('interdependence', 0.5594786405563354)]"
8,dependence,0.29131287,"[('dependence', 0.9999998807907104), ('interdependence', 0.5595159530639648), ('dependent', 0.5505732893943787)]"
9,dependent,0.24818738,"[('dependent', 1.000000238418579), ('dependence', 0.5505732893943787), ('interdependent', 0.44223302602767944)]"
10,director_interlocks,0.23770246,"[('director_interlocks', 0.9999999403953552), ('interlock', 0.5524343252182007), ('board_directors', 0.3823855221271515)]"
11,diversification,0.27521744,"[('diversification', 0.9999999403953552), ('diversify', 0.5346834063529968), ('control', 0.3384990692138672)]"
12,diversify,0.21086052,"[('diversify', 1.0000001192092896), ('diversification', 0.5346834063529968), ('merge', 0.28526052832603455)]"
13,dominance,0.23272972,"[('dominance', 1.0), ('dependence', 0.3577198088169098), ('interdependence', 0.3424057960510254)]"
14,exchange,0.25984454,"[('exchange', 1.0), ('cooperation', 0.49784308671951294), ('interdependence', 0.4159191846847534)]"
15,external,0.29677173,"[('external', 0.9999998211860657), ('influence', 0.47327500581741333), ('control', 0.4527829587459564)]"
16,horizontal,0.26457098,"[('horizontal', 0.9999998807907104), ('vertical', 0.8157654404640198), ('interdependence', 0.40439629554748535)]"
17,influence,0.30802444,"[('influence', 0.9999998807907104), ('control', 0.5555785894393921), ('external', 0.47327500581741333)]"
18,interdependence,0.32980347,"[('interdependence', 1.0), ('interdependent', 0.6942646503448486), ('dependence', 0.5595159530639648)]"
19,interdependent,0.2967956,"[('interdependent', 0.9999996423721313), ('interdependence', 0.6942646503448486), ('interlocking', 0.4536093771457672)]"
20,interlock,0.24063924,"[('interlock', 1.0), ('director_interlocks', 0.5524343252182007), ('interlocking', 0.4042745530605316)]"
21,interlocking,0.256181,"[('interlocking', 1.0), ('interdependent', 0.4536093771457672), ('interlock', 0.4042745530605316)]"
22,joint_venture,0.26974946,"[('joint_venture', 0.9999998807907104), ('cooperation', 0.4605334997177124), ('merger', 0.38539043068885803)]"
23,merge,0.21156006,"[('merge', 0.9999999403953552), ('merged', 0.704279363155365), ('merger', 0.49434980750083923)]"
24,merged,0.21268213,"[('merged', 0.9999998807907104), ('merge', 0.704279363155365), ('merger', 0.5675815343856812)]"
